Lp.;Title;Equations;Observations;All minimal conflicts;All minimal diagnosis;Minimal conflicts;Minimal diagnosis;Minimal conflicts - GPT;Minimal diagnosis - GPT
1;Example 12 classic polybox;"O1: a | c = x01
O2: b | d = x02
O3: c | e = x03
A1: x01 & x02 = f
A2: x02 & x03 = g";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 1";"A1, O1, O2
A2, O2, O3
A1, A2, O1, O3";"A1, A2
A1, O2
A1, O3
A2, O1
A2, O2
O1, O2
O1, O3
O2, O3";;;;
2;Example 12 classic polybox;"O1: a | c = x01
O2: b | d = x02
O3: c | e = x03
A1: x01 & x02 = f
A2: x02 & x03 = g";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 0
g = 1";"A1, O1, O2
A2, O2, O3
A1, A2, O1, O3";"A1, A2
A1, O2
A1, O3
A2, O1
A2, O2
O1, O2
O1, O3
O2, O3";"A1, O1, O2
A1, A2, O1, O3";"A1
O1
A2, O2
O2, O3";;"O2, O3
O1
O2, A2
A1"
3;Example 12 classic polybox;"O1: a | c = x01
O2: b | d = x02
O3: c | e = x03
A1: x01 & x02 = f
A2: x02 & x03 = g";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 0";"A1, O1, O2
A2, O2, O3
A1, A2, O1, O3";"A1, A2
A1, O2
A1, O3
A2, O1
A2, O2
O1, O2
O1, O3
O2, O3";"A2, O2, O3
A1, A2, O1, O3";"A2
O3
A1, O2
O1, O2";;"O3
O2, A1
A2
O1, O2"
4;Example 12 classic polybox;"O1: a | c = x01
O2: b | d = x02
O3: c | e = x03
A1: x01 & x02 = f
A2: x02 & x03 = g";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 0
g = 0";"A1, O1, O2
A2, O2, O3
A1, A2, O1, O3";"A1, A2
A1, O2
A1, O3
A2, O1
A2, O2
O1, O2
O1, O3
O2, O3";"A1, O1, O2
A2, O2, O3";"O2
A1, A2
A1, O3
A2, O1
O1, O3";;"O1, O3
O1, A2
O3, A1
O2
A1, A2"
5;Example 13 only A;"A1: a & b = x01
A2: b & c = x02
A3: c & d = x03
A4: d & e = x04
A5: x01 & x02 = x05
A6: x03 & x04 = g
A7: x05 & f = h";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 1
h = 1";"A3, A4, A6
A1, A2, A5, A7";"A1, A3
A1, A4
A1, A6
A2, A3
A2, A4
A2, A6
A3, A5
A3, A7
A4, A5
A4, A7
A5, A6
A6, A7";;;;
6;Example 13 only A;"A1: a & b = x01
A2: b & c = x02
A3: c & d = x03
A4: d & e = x04
A5: x01 & x02 = x05
A6: x03 & x04 = g
A7: x05 & f = h";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 0
h = 1";"A3, A4, A6
A1, A2, A5, A7";"A1, A3
A1, A4
A1, A6
A2, A3
A2, A4
A2, A6
A3, A5
A3, A7
A4, A5
A4, A7
A5, A6
A6, A7";A3, A4, A6;"A3
A4
A6";;"A6
A3
A4"
7;Example 13 only A;"A1: a & b = x01
A2: b & c = x02
A3: c & d = x03
A4: d & e = x04
A5: x01 & x02 = x05
A6: x03 & x04 = g
A7: x05 & f = h";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 1
h = 0";"A3, A4, A6
A1, A2, A5, A7";"A1, A3
A1, A4
A1, A6
A2, A3
A2, A4
A2, A6
A3, A5
A3, A7
A4, A5
A4, A7
A5, A6
A6, A7";A1, A2, A5, A7;"A1
A2
A5
A7";;"A1
A7
A5
A2"
8;Example 13 only A;"A1: a & b = x01
A2: b & c = x02
A3: c & d = x03
A4: d & e = x04
A5: x01 & x02 = x05
A6: x03 & x04 = g
A7: x05 & f = h";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 0
h = 0";"A3, A4, A6
A1, A2, A5, A7";"A1, A3
A1, A4
A1, A6
A2, A3
A2, A4
A2, A6
A3, A5
A3, A7
A4, A5
A4, A7
A5, A6
A6, A7";"A3, A4, A6
A1, A2, A5, A7";"A1, A3
A1, A4
A1, A6
A2, A3
A2, A4
A2, A6
A3, A5
A3, A7
A4, A5
A4, A7
A5, A6
A6, A7";;"A3, A1
A5, A4
A4, A2
A5, A6
A6, A2
A3, A7
A4, A7
A7, A6
A3, A2
A3, A5
A4, A1
A1, A6"
9;Example 14 only O;"O1: a | b = x01
O2: b | c = x02
O3: c | d = x03
O4: d | e = x04
O5: x01 | x02 = x05
O6: x03 | x04 = g
O7: x05 | f = h";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 1
h = 1";"O3, O4, O6
O1, O2, O5, O7";"O1, O3
O1, O4
O1, O6
O2, O3
O2, O4
O2, O6
O3, O5
O3, O7
O4, O5
O4, O7
O5, O6
O6, O7";;;;
10;Example 14 only O;"O1: a | b = x01
O2: b | c = x02
O3: c | d = x03
O4: d | e = x04
O5: x01 | x02 = x05
O6: x03 | x04 = g
O7: x05 | f = h";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 0
h = 1";"O3, O4, O6
O1, O2, O5, O7";"O1, O3
O1, O4
O1, O6
O2, O3
O2, O4
O2, O6
O3, O5
O3, O7
O4, O5
O4, O7
O5, O6
O6, O7";O3, O4, O6;"O3
O4
O6";;"O3
O4
O6"
