CountNormalized2;CommonElements;IncorrectlyGenerated;MissingElements;CommonPercentage;Minimal diagnosis - GPT
4;0;4;0;0,0;"M2, A2
A1
M1
M2, M3"
4;4;0;0;1,0;"A2
M2, A1
M2, M1
M3"
4;4;0;0;1,0;"M2, A2
A1
M1
M2, M3"
5;5;0;0;1,0;"A2, A1
M1, M3
A2, M1
A1, M3
M2"
8;8;0;0;1,0;"A2, A1
M1, M3
M2, A1
M2, A2
A2, M1
M2, M1
A1, M3
M2, M3"
0;0;0;0;1,0;
3;3;0;0;1,0;"A3
A6
A4"
4;4;0;0;1,0;"A1
A7
A2
A5"
12;12;0;0;1,0;"A2, A6
A3, A7
A3, A5
A7, A6
A6, A1
A4, A5
A7, A4
A4, A1
A4, A2
A6, A5
A3, A1
A3, A2"
0;0;0;0;1,0;
4;4;0;0;1,0;"M1
M5
M2
M7"
3;3;0;0;1,0;"M4
M6
M3"
12;12;0;0;1,0;"M3, M7
M2, M4
M4, M7
M6, M7
M4, M1
M6, M1
M6, M5
M1, M3
M2, M3
M6, M2
M5, M3
M5, M4"
0;0;0;0;1,0;
3;3;0;0;1,0;"A2
M2
A4"
12;12;0;0;1,0;"A2, A1
M2, A1
A4, M3
A3, M2
A4, A1
A2, M1
M2, M1
A3, A4
A4, M1
A3, A2
A2, M3
M2, M3"
4;4;0;0;1,0;"A1
M1
A3
M3"
0;0;0;0;1,0;
9;9;0;0;1,0;"M4, A2
M2, M4
A4
A3, M2
A1
M1
A3, A2
A2, M3
M2, M3"
9;9;0;0;1,0;"M4
A3
A2, A1
M2, A1
M2, A4
A4, A2
A2, M1
M2, M1
M3"
21;21;0;0;1,0;"A4, M4
M4, M1
M1, M3
A2, M3
M2, M3
M4, A2
M2, M4
A2, A1
M2, A1
A3, A1
A3, M2
A4, A2
A2, M1
M2, M1
A1, M3
A3, M1
M4, A1
M2, A4
A3, A4
A3, A2
A4, M3"
0;0;0;0;1,0;
5;5;0;0;1,0;"M4, A2
M2, M4
M4, A1
M4, M1
M3"
5;5;0;0;1,0;"M4
M1, M3
A1, M3
A2, M3
M2, M3"
5;5;0;0;1,0;"A2
M4, M3
A1
M1
M2"
0;0;0;0;1,0;
21;21;0;0;1,0;"A6, M4, M1
A3, A6, M1
A3, A4, A6
A4, A5
M4, A6, M3
M1, A5
A3, A6, M3
M5
M4, A6, A1
A3, A6, A1
A6, M2, M1
A4, M2, A6
A2, A6, M3
A4, A2, A6
M3, A5
M2, A6, M3
A6, A2, M1
A1, A5
A2, A6, A1
M2, A6, A1
A4, M4, A6"
9;9;0;0;1,0;"A2, A6
M2, A6
M5, A4
M5, A1
M5, M1
A3, A6
A5
M5, M3
M4, A6"
21;21;0;0;1,0;"M5, A2, A1
M5, M2, A1
A3, M5, M1
M5, M4, M3
M5, A2, M1
M5, M2, M1
A3, M5, A4
A2, A5
M2, A5
M5, M4, A1
M5, A2, A4
M5, M2, A4
A3, A5
A3, M5, M3
M5, M4, M1
A6
M4, A5
A3, M5, A1
M5, M2, M3
M5, A2, M3
M5, M4, A4"
45;44;1;1;0,9777777777777777;"A3, A4, A5
M2, A1, A5
M1, A2, A6
M5, A6, M3
A5, A6, A1
A3, A4, A6
M5, M2
A5, M2, M3
M1, A4, A6
M4, A6, M3
A2, M1, A5
A3, M5
M5, A6, A1
A3, A6, M3
A5, A2, M3
M5, A6, A5
M2, M1, A5
M4, A6, A1
A4, M2, A5
M4, A1, A5
A3, A6, A1
M1, A6, A5
M5, A2
A4, A2, A5
A4, M2, A6
A5, M4, M3
A5, A6, M3
A3, A1, A5
A4, A2, A6
A2, A6, M3
A3, M1, A6
M2, A6, M3
M5, A6, A4
M4, M1, A5
A2, A1, A5
M2, M1, A6
A2, A6, A1
A4, M4, A5
A3, A5, M3
M2, A6, A1
A4, M4, A6
A4, A6, A5
A3, M1, A5
A6, M5, M1
M5, M4"
